First-Order Group,Priority,SMARTs
CH3,18,[CH3;!$(*c)]
CH2,18,[CH2;!R;!$(*c)]
CH,18,[CH1;!R;!$(*c)]
C,18,[CH0;!R;!$(*c)]
CH2=CH,3,[CH2;!R]=[CH1;!R;!$(*c)]
CH=CH,3,[CH1;!R;!$(*c)]=[CH1;!R;!$(*c)]
CH2=C,3,[CH2;!R]=[CH0;!R;!$(*c)]
CH=C,3,[CH1;!R]=[CH0;!R]
C=C,3,[CH0;!R]=[CH0;!R]
CH2=C=CH,2,[CH2;!R]=[CH0;!R]=[CH1;!R]
CH2=C=C,2,[CH2;!R]=[CH0;!R]=[CH0;!R]
CH=C=CH,2,[CH1;!R]=[CH0;!R]=[CH1;!R]
CH#C,2,[CH1]#[CH0]
C#C,2,[CH0]#[CH0]
ACH,15,[cH1]
AC fused with aromatic ring,3,[cH0;R2;!$(*C)]
AC fused with non-aromatic ring,3,[cH0;R2;$(*C)]
AC except above,15,[cH0;!R2]
AN in aromatic ring,15,[nH0;R;!r5]
ACCH3,14,[cH0][CH3]
ACCH2,14,[cH0][CH2]
ACCH,14,[cH0][CH1;!$(*(=O));!R]
ACC,14,[cH0][CH0]
ACCH=CH2,13,[cH0][CH1]=[CH2]
ACCH=CH,13,[cH0][CH1]=[CH1]
ACC=CH2,13,[cH0][CH0]=[CH2]
ACC#CH,14,[cH0][CH0]#[CH1]
ACC#C,14,[cH0][CH0]#[CH0]
OH,18,[OH1;!$(*c);!$(*N)]
ACOH,14,[cH0][OH1]
C(=O)OH,13,[CH0;!$(*c)](=[O])[OH]
ACC(=O)OH,12,[cH0][CH0](=[O])[OH]
CH3C=O,14,[CH3][CH0;!R]=[O]
CH2C=O,15,[CH2][CH0;!R]=[O]
CHC=O,16,[CH1][CH0;!R]=[O]
CC=O,17,[CH0][CH0;!R]=[O]
ACC=O,13,[cH0][CH0](=[O])
CH=O,15,[CH1;!$(*[OH0]);!$(*c);!$(*[N])]=[O]
ACCH=O,14,[cH0][CH1]=[O]
CH3COO,13,[CH3;!R][CH0;!R](=[O])[OH0]
CH2COO,13,[CH2;!R][CH0;!R](=[O])[OH0]
CHCOO,13,[CH1][CH0](=[O])[OH0]
CCOO,13,[CH0;!$(*(=O))][CH0](=[O])[OH0]
HCOO,13,[CH1](=[O])[OH0]
ACCOO,12,[cH0][CH0](=[O])[OH0]
ACOCH=O,12,[cH0][OH0][CH1](=[O])
ACOC=O,12,[cH0][OH0][CH0](=[O])
COO,14,[CH0;!R;!$(*(O)O)](=[O])[OH0]
CH3O,15,[CH3][OH0]
CH2O,15,[CH2;!R][OH0]
CH-O,16,[CH1;!R][OH0]
C-O,17,[CH0;!R][OH0]
AC-O,14,[cH0][OH0]
CH2NH2,4,[CH2;!$(*c)][NH2]
CHNH2,4,[CH1;!R][NH2]
CNH2,4,[CH0;!R][NH2]
CH3NH,8,[CH3][NH1]
CH2NH,9,[CH2;!R][NH1;!R]
CHNH,9,[CH1;!R][NH1;!R]
CH3N,8,[CH3;!R][NH0;!R]
CH2N,9,[CH2;!R][NH0;!R]
ACNH2,3,[cH0][NH2]
ACNH,3,[cH0][NH1]
ACN,3,[cH0][NH0]
NH2,5,[NH2]
CH=N,5,[CH1;!R]=[NH0;!R]
C=N,5,[CH0;!R]=[NH0;!R]
CH2C#N,4,[CH2][C]#[N]
CHC#N,4,[CH1][C]#[N]
CCN,4,[CH0][C]#[N]
ACC#N,4,[cH0][C]#[N]
C#N,5,[CH0]#[N]
CH2N=C=O,8,[CH2][NH0]=[CH0]=[OH0]
CHN=C=O,8,[CH1][NH0]=[CH0]=[OH0]
CN=C=O,8,[CH0][NH0]=[CH0]=[OH0]
AC-N=C=O,3,[cH0][NH0]=[CH0]=[OH0]
CH2NO2,4,[CH2][N](=[O])[O]
CHNO2,4,[CH1;!R][N](=[O])[O]
CNO2,4,[CH0][N](=[O])[O]
ACNO2,3,[cH0][N](=[O])[O]
NO2,4,[N;!$(*[OH0])](=[O])[O]
ONO,5,[OH0][N]=[O]
ONO2,4,[OH0][N](=[O])[O]
HC(=O)N(CH2)2,6,[CH1](=[O])[NH0]([CH2])([CH2])
HC(=O)NHCH2,6,[CH1](=[O])[NH1][CH2]
C(=O)NH2,3,[CH0;!$(*c)](=[O])[NH2]
C(=O)NHCH3,7,[CH0;!R](=[O])[NH1;!R][CH3]
C(=O)NHCH2,7,[CH0;!R](=[O])[NH1;!R][CH2]
C(=O)N(CH3)2,2,[CH0;!R](=[O])[NH0;!R]([CH3])[CH3]
C(=O)N(CH3)CH2,2,[CH0;!R](=[O])[NH0;!R]([CH3;!R])[CH2;!R]
C(=O)N(CH2)2,2,[CH0;!R](=[O])[NH0;!R]([CH2;!R])[CH2;!R]
C(=O)NHC=O,7,[CH0;!R](=[O])[NH1;!R][CH0;!R](=[O])
C(=O)NC(=O),7,[CH0;!R](=[O])[NH0;!R][CH0;!R](=[O])
ACC(=O)NH2,2,[cH0][CH0](=[O])[NH2]
ACNHC(=O)H,2,[cH0][NH1][CH1]=[O]
ACNC(=O)H,2,[cH0][NH0][CH1]=[O]
ACC(=O)NH,2,[cH0][CH0](=[O])[NH1]
ACNHC(=O),2,[cH0][NH1][CH0]=[O]
ACNC(=O),2,[cH0][NH0][CH0]=[O]
NHC(=O)NH,3,[NH1][CH0](=[O])[NH1;!$(*c)]
NH2C(=O)NH,3,[NH2][CH0](=[O])[NH1;!$(*c)]
NH2C(=O)N,3,[NH2][CH0](=[O])[NH0]
NHC(=O)N,3,[NH1][CH0](=[O])[NH0]
NC(=O)N,3,[NH0][CH0](=[O])[NH0]
ACNHC(=O)NH2,2,[cH0][NH1][CH0](=[O])[NH2]
ACNHC(=O)NH,2,[cH0][NH1][CH0](=[O])[NH1]
