,,,index,comp1,comp2,P,a,a12,b12,a21,b21,comp1_antoine1,comp1_antoine2,comp1_antoine5,comp1_antoine6,comp1_antoine7,comp2_antoine1,comp2_antoine2,comp2_antoine5,comp2_antoine6,comp2_antoine7
,,,1,water,methanol,101300,0.3,2.7322,-617.2687,-0.693,172.9871,62.13607454,-7258.2,-7.3037,4.17E-06,2,71.20507454,-6904.5,-8.8622,7.47E-06,2
,,,2,water,ethanol,101300,0.3,3.4578,-586.0809,-0.8009,246.18,62.13607454,-7258.2,-7.3037,4.17E-06,2,61.79107454,-7122.3,-7.1424,2.89E-06,2
,,,3,water,isopropanol,101300,0.3,6.8284,-1483.4573,-1.3115,426.3978,62.13607454,-7258.2,-7.3037,4.17E-06,2,99.20707454,-9040,-12.676,5.54E-06,2
,,,5,water,acetone,101300,0.3,0.0544,419.9716,6.3981,-1808.991,62.13607454,-7258.2,-7.3037,4.17E-06,2,46.43407454,-5355.3,-5.2106,1.24E-14,5
,,,6,water,ethylene-glycol,101300,0.3,0.3479,34.8234,-0.0567,-147.1373,62.13607454,-7258.2,-7.3037,4.17E-06,2,80.08107454,-10811,-9.2821,3.02E-18,6
,,,7,water,12-propanediol,101300,0.3,0,-300.6236,0,467.8999,62.13607454,-7258.2,-7.3037,4.17E-06,2,123.9770745,-12483,-16.019,6.46E-06,2
,,,8,water,14-butanediol,101300,0.47,0,767.2948,0,551.6351,62.13607454,-7258.2,-7.3037,4.17E-06,2,116.1170745,-14187,-14.132,3.79E-18,6
methanol,ethanol,0,9,methanol,ethanol,101300,0.3,4.7119,-1162.2949,-2.3127,483.8436,71.20507454,-6904.5,-8.8622,7.47E-06,2,61.79107454,-7122.3,-7.1424,2.89E-06,2
methanol,1-propanol,0,10,methanol,1-propanol,101300,0.3,0,19.5547,0,-8.8867,71.20507454,-6904.5,-8.8622,7.47E-06,2,73.15107454,-8307.2,-8.5767,7.51E-18,6
methanol,isopropanol,0,11,methanol,isopropanol,101300,0.3,0,79.5395,0,7.9115,71.20507454,-6904.5,-8.8622,7.47E-06,2,99.20707454,-9040,-12.676,5.54E-06,2
methanol,n-butanol,0,12,methanol,n-butanol,101300,0.3,2.22,-337.7124,-1.5165,242.6243,71.20507454,-6904.5,-8.8622,7.47E-06,2,94.77707454,-9866.4,-11.655,1.08E-17,6
methanol,2-butanol,0,13,methanol,2-butanol,101300,0.3,0,-178.4993,0,163.3331,71.20507454,-6904.5,-8.8622,7.47E-06,2,111.0370745,-10236,-14.125,2.36E-17,6
methanol,isobutanol,0,14,methanol,isobutanol,101300,0.3,-16.0411,5443.7725,14.3289,-4751.3677,71.20507454,-6904.5,-8.8622,7.47E-06,2,110.2670745,-10504,-13.921,1.69E-17,6
methanol,tert-butanol,0,15,methanol,tert-butanol,101300,0.3,0,-160.3518,0,44.0798,71.20507454,-6904.5,-8.8622,7.47E-06,2,160.7570745,-11589,-22.113,1.37E-05,2
