index,Ring Structure,中文名称,name,smiles,分子量,priority,SMARTs
1,AROMRING,苯环,benzene,C1=CC=CC=C1,78,0,[cH1]:[cH1]:[cH1]:[cH1]:[cH1]:[cH1]
2,AROMRINGs1,,,,,0,[cH1]:[cH1]:[cH1]:[cH1]:[cH1]:[cH0]
3,AROMRINGs1s2,,,,,0,[cH1]:[cH1]:[cH1]:[cH1]:[cH0;!R2;r6]:[cH0;!R2;r6]
4,AROMRINGs1s3,,,,,0,[cH1]:[cH1]:[cH1]:[cH0;!R2;r6]:[cH1]:[cH0;!R2;r6]
5,AROMRINGs1s4,,,,,0,[cH1]:[cH1]:[cH0;!R2;r6]:[cH1]:[cH1]:[cH0;!R2;r6]
6,AROMRINGs1s2s3,,,,,0,[cH1]:[cH1]:[cH1]:[cH0;!R2;r6]:[cH0;!R2;r6]:[cH0;!R2;r6]
7,AROMRINGs1s2s4,,,,,0,[cH1]:[cH1]:[cH0;!R2;r6]:[cH1]:[cH0]:[cH0;!R2;r6]
8,AROMRINGs1s3s5,,,,,0,[cH1]:[cH0;!R2;r6]:[cH1]:[cH0;!R2;r6]:[cH1]:[cH0;!R2;r6]
9,AROMRINGs1s2s3s4,,,,,0,[cH0;!R2;r6]:[cH0;!R2;r6]:[cH0;!R2;r6]:[cH0;!R2;r6]:[cH1]:[cH1]
10,AROMRINGs1s2s3s5,,,,,0,[cH0;!R2;r6]:[cH0;!R2;r6]:[cH0;!R2;r6]:[cH1]:[cH0;!R2;r6]:[cH1]
11,AROMRINGs1s2s4s5,,,,,0,[cH0;!R2;r6]:[cH0;!R2;r6]:[cH1]:[cH0;!R2;r6]:[cH0;!R2;r6]:[cH1]
12,AROMRINGs1s2s3s4s5,,,,,0,[cH0;!R2;r6]:[cH0;!R2;r6]:[cH0;!R2;r6]:[cH0;!R2;r6]:[cH0;!R2;r6]:[cH1]
13,AROMRINGs1s2s3s4s5s6,,,,,0,[cH0;!R2;r6]:[cH0;!R2;r6]:[cH0;!R2;r6]:[cH0;!R2;r6]:[cH0;!R2;r6]:[cH0;!R2;r6]
14,PYRIDINE,吡啶,pyridine,C1=CC=NC=C1,79,0,[cH1]1:[cH1]:[cH1]:[nH0;!R2;r6]:[cH1]:[cH1]:1
15,PYRIDINEs2,,,,,0,[cH1]:[cH1]:[cH0;!R2;r6]:[nH0;!R2;r6]:[cH1]:[cH1]
16,PYRIDINEs3,,,,,0,[cH1]:[cH0;!R2;r6]:[cH1]:[nH0;!R2;r6]:[cH1]:[cH1]
17,PYRIDINEs4,,,,,0,[cH0;!R2;r6]:[cH1]:[cH1]:[nH0;!R2;r6]:[cH1]:[cH1]
18,PYRIDINEs2s3,,,,,0,[cH1]:[cH0;!R2;r6]:[cH0;!R2;r6]:[nH0;!R2;r6]:[cH1]:[cH1]
19,PYRIDINEs2s4,,,,,0,[cH0;!R2;r6]:[cH1]:[cH0;!R2;r6]:[nH0;!R2;r6]:[cH1]:[cH1]
20,PYRIDINEs2s5,,,,,0,[cH1]:[cH1]:[cH0;!R2;r6]:[nH0;!R2;r6]:[cH1]:[cH0;!R2;r6]
21,PYRIDINEs2s6,,,,,0,[cH1]:[cH1]:[cH0;!R2;r6]:[nH0;!R2;r6]:[cH0;!R2;r6]:[cH1]
22,PYRIDINEs3s4,,,,,0,[cH0;!R2;r6]:[cH0;!R2;r6]:[cH1]:[nH0;!R2;r6]:[cH1]:[cH1]
23,PYRIDINEs3s5,,,,,0,[cH1]:[cH0;!R2;r6]:[cH1]:[nH0;!R2;r6]:[cH1]:[cH0;!R2;r6]
24,PYRIDINEs2s3s6,,,,,0,[cH1]:[cH0;!R2;r6]:[cH0;!R2;r6]:[nH0;!R2;r6]:[cH0;!R2;r6]:[cH1]
25,PYRIDINEs2s3s5,,,,,0,[cH1]:[cH0;!R2;r6]:[cH0;!R2;r6]:[nH0;!R2;r6]:[cH1]:[cH0;!R2;r6]
