index,Ring Structure,ÖÐÎÄÃû³Æ,name,smiles,MW,Priority,SMARTs
1,AROMRING,±½»·,benzene,C1=CC=CC=C1,78,0,[cH1]:[cH1]:[cH1]:[cH1]:[cH1]:[cH1]
2,AROMRING,,,,,1,[c;!R2;r6]1:[c;!R2;r6]:[c;!R2;r6]:[c;!R2;r6]:[c;!R2;r6]:[c;!R2;r6]:1
3,PYRIDINE,ßÁà¤,pyridine,C1=CC=NC=C1,79,0,[cH1]:[cH1]:[cH1]:[nH0;R;!r5]:[cH1]:[cH1]
4,PYRIDINERING,,,,,1,[c;!R2;r6]1:[c;!R2;r6]:[c;!R2;r6]:[n;!R2;!r5]:[c;!R2;r6]:[c;!R2;r6]:1
5,FURAN,ß»à«,furan,C1=COC=C1,68,0,[cH1]:[cH1]:o:[cH1]:[cH1]
6,FURANRING,,,,,1,[c;!R2;r5]:[c;!R2;r5]:o:[c;!R2;r5]:[c;!R2;r5]
7,THIOPHENE,àç·Ô,Thiophene,C1=CSC=C1,84,0,[cH1]:[cH1]:s:[cH1]:[cH1]
8,THIOPHENERING,,,,,1,[c;!R2;r5]1:[c;!R2;r5]:s:[c;!R2;r5]:[c;!R2;r5]:1
9,PYRROLE,ßÁ¿©,pyrrole,C1=CNC=C1,68,0,[cH1]1:[cH1]:[nH1;R;r5]:[cH1]:[cH1]:1
10,PYRROLERING,,,,,1,[c;!R2;r5]1:[c;!R2;r5]:[n;!R2;r5]:[c;!R2;r5]:[c;!R2;r5]:1
11,ISOXAZOLE,Òì‡fßò,isoxazole,C1=CON=C1,69,0,o:n:[cH1]:[cH1]:[cH1]
12,ISOXAZOLERING,,,,,1,[c;!R2;r5]1:[c;!R2;r5]:o:n:[c;!R2;r5]:1
13,OXAZOLE,‡fßò,oxazole,C1=COC=N1,69,0,o:[cH1]:n:[cH1]:[cH1]
14,OXAZOLERING,,,,,1,[c;!R2;r5]1:[c;!R2;r5]:o:[c;!R2;r5]:n:1
15,PYRAZOLE,ßÁßò,pyrazole,C1=CNN=C1,68,0,[cH1]1:[cH1]:[nH1]:n:[cH1]:1
16,PYRAZOLERING,,,,,1,[c;!R2;r5]1:[c;!R2;r5]:[n;!R2;r5]:n:[c;!R2;r5]:1
17,THIAZOLE,àçßò,thiazole,C1=CSC=N1,85,0,[cH1]:[cH1]:s:[cH1]:n
18,THIAZOLERING,,,,,1,[c;!R2;r5]1:[c;!R2;r5]:s:[c;!R2;r5]:n:1
19,IMIDAZOLE,ßäßò,imidazole,C1=CN=CN1,68,0,[cH1]:[cH1]:n:[cH1]:[nH1]
20,IMIDAZOLERING,,,,,1,[c;!R2;r5]1:[c;!R2;r5]:n:[c;!R2;r5]:n:1
21,PYRIDAZINE,ßÕàº,pyridazine,C1=CC=NN=C1,80,0,[cH1]:[cH1]:[cH1]:n:n:[cH1]
22,PYRIDAZINERING,,,,,1,[c;!R2;r6]1:[c;!R2;r6]:[c;!R2;r6]:n:n:[c;!R2;r6]:1
23,PYRIMIDINE,à×à¤,pyrimidine,C1=CN=CN=C1,80,0,[cH1]:[cH1]:n:[cH1]:n:[cH1]
24,PYRIMIDINERING,,,,,1,[c;!R2;r6]1:[c;!R2;r6]:n:[c;!R2;r6]:n:[c;!R2;r6]:1
25,PYRAZINE,ßÁàº,pyrazine,C1=CN=CC=N1,80,0,[cH1]:[cH1]:n:[cH1]:[cH1]:n
26,PYRAZINERING,,,,,1,[c;!R2;r6]1:[c;!R2;r6]:n:[c;!R2;r6]:[c;!R2;r6]:n:1
27,BENZOFURAN,±½²¢ß»à«,benzofuran,C1=CC=C2C(=C1)C=CO2,118,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH1]:1):[cH1]:[cH1]:o:2
28,BENZOFURANRING,,,,,1,[c;!R2;r6]1:[c;!R2;r6]:[c;!R2;r6]:c2:c(:[c;!R2;r6]:1):[c;!R2;r5]:[c;!R2;r5]:o:2
29,CARBAZOLE,ßÇßò,carbazole,C1=CC=C2C(=C1)C3=CC=CC=C3N2,167,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH1]:1):c3:[cH1]:[cH1]:[cH1]:[cH1]:c:3:[nH1]:2
30,CARBAZOLERING,,,,,1,[c;!R2;r6]1:[c;!R2;r6]:[c;!R2;r6]:c2:c(:[c;!R2;r6]:1):c3:[c;!R2;r6]:[c;!R2;r6]:[c;!R2;r6]:[c;!R2;r6]:c:3:n:2
31,THIANAPHETHENE,±½²¢àç·Ô,thianaphthene,C1=CC=C2C(=C1)C=CS2,134,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH1]:1):[cH1]:[cH1]:s:2
32,THIANAPHeETHENERING,,,,,1,[c;!R2;r6]1:[c;!R2;r6]:[c;!R2;r6]:c2:c(:[c;!R2;r6]:1):[c;!R2;r5]:[c;!R2;r5]:s:2
33,BENZIMIDAZOLE,±½²¢ßäßò,benzimidazole,C1=CC=C2C(=C1)NC=N2,118,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH1]:1):[nH1]:[cH1]:n:2
34,BENZIMIDAZOLERING,,,,,1,[c;!R2;r6]1:[c;!R2;r6]:[c;!R2;r6]:c2:c(:[c;!R2;r6]:1):[n;!R2;r5]:[c;!R2;r5]:n:2
35,INDOLE,ßÅßá,indole,C1=CC=C2C(=C1)C=CN2,117,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH1]:1):[cH1]:[cH1]:[nH1]:2
36,INDOLERING,,,,,1,"[c;!R2;r6]1:[c;!R2;r6]:[c;!R2;r6]:c2:c(:[c;!R2;r6]:1):[c;!R2,r5]:[c;!R2;r5]:[n;!R2;r5]:2"
37,QUINOLINE,à­ßø,quinoline,C1=CC=C2C(=C1)C=CC=N2,129,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH1]:1):[cH1]:[cH1]:[cH1]:n:2
38,QUINOLINERING,,,,,1,[c;!R2;r6]1:[c;!R2;r6]:[c;!R2;r6]:c2:c(:[c;!R2;r6]:1):[c;!R2;r6]:[c;!R2;r6]:[c;!R2;r6]:n:2
39,ISOQUINOLINE,Òìà­ßø,isoquinoline,C1=CC=C2C=NC=CC2=C1,129,0,[cH1]1:[cH1]:[cH1]:c2:[cH1]:n:[cH1]:[cH1]:c:2:[cH1]:1
40,ISOQUINOLINERING,,,,,1,[c;!R2;r6]1:[c;!R2;r6]:[c;!R2;r6]:c2:[c;!R2;r6]:n:[c;!R2;r6]:[c;!R2;r6]:c:2:[c;!R2;r6]:1
41,NAPHTHALENE,ÝÁ,naphthalene,C1=CC=C2C=CC=CC2=C1,128,0,[cH1]1:[cH1]:[cH1]:c2:[cH1]:[cH1]:[cH1]:[cH1]:c:2:[cH1]:1
