Ring Structure,name,smiles,MW,Priority,SMARTs
AROMRING,benzene,C1=CC=CC=C1,78,0,[cH1]:[cH1]:[cH1]:[cH1]:[cH1]:[cH1]
AROMRING,,,,1,[c;!R2;r6]1:[c;!R2;r6]:[c;!R2;r6]:[c;!R2;r6]:[c;!R2;r6]:[c;!R2;r6]:1
PYRIDINE,pyridine,C1=CC=NC=C1,79,0,[cH1]:[cH1]:[cH1]:[nH0;R;!r5]:[cH1]:[cH1]
PYRIDINERING,,,,1,[c;!R2;r6]1:[c;!R2;r6]:[c;!R2;r6]:[n;!R2;!r5]:[c;!R2;r6]:[c;!R2;r6]:1
FURAN,furan,C1=COC=C1,68,0,[cH1]:[cH1]:o:[cH1]:[cH1]
FURANRING,,,,1,[c;!R2;r5]:[c;!R2;r5]:o:[c;!R2;r5]:[c;!R2;r5]
THIOPHENE,Thiophene,C1=CSC=C1,84,0,[cH1]:[cH1]:s:[cH1]:[cH1]
THIOPHENERING,,,,1,[c;!R2;r5]1:[c;!R2;r5]:s:[c;!R2;r5]:[c;!R2;r5]:1
PYRROLE,pyrrole,C1=CNC=C1,68,0,[cH1]1:[cH1]:[nH1;R;r5]:[cH1]:[cH1]:1
PYRROLERING,,,,1,[c;!R2;r5]1:[c;!R2;r5]:[n;!R2;r5]:[c;!R2;r5]:[c;!R2;r5]:1
ISOXAZOLE,isoxazole,C1=CON=C1,69,0,o:n:[cH1]:[cH1]:[cH1]
ISOXAZOLERING,,,,1,[c;!R2;r5]1:[c;!R2;r5]:o:n:[c;!R2;r5]:1
OXAZOLE,oxazole,C1=COC=N1,69,0,o:[cH1]:n:[cH1]:[cH1]
OXAZOLERING,,,,1,[c;!R2;r5]1:[c;!R2;r5]:o:[c;!R2;r5]:n:1
PYRAZOLE,pyrazole,C1=CNN=C1,68,0,[cH1]1:[cH1]:[nH1]:n:[cH1]:1
PYRAZOLERING,,,,1,[c;!R2;r5]1:[c;!R2;r5]:[n;!R2;r5]:n:[c;!R2;r5]:1
THIAZOLE,thiazole,C1=CSC=N1,85,0,[cH1]:[cH1]:s:[cH1]:n
THIAZOLERING,,,,1,[c;!R2;r5]1:[c;!R2;r5]:s:[c;!R2;r5]:n:1
IMIDAZOLE,imidazole,C1=CN=CN1,68,0,[cH1]:[cH1]:n:[cH1]:[nH1]
IMIDAZOLERING,,,,1,[c;!R2;r5]1:[c;!R2;r5]:n:[c;!R2;r5]:n:1
PYRIDAZINE,pyridazine,C1=CC=NN=C1,80,0,[cH1]:[cH1]:[cH1]:n:n:[cH1]
PYRIDAZINERING,,,,1,[c;!R2;r6]1:[c;!R2;r6]:[c;!R2;r6]:n:n:[c;!R2;r6]:1
PYRIMIDINE,pyrimidine,C1=CN=CN=C1,80,0,[cH1]:[cH1]:n:[cH1]:n:[cH1]
PYRIMIDINERING,,,,1,[c;!R2;r6]1:[c;!R2;r6]:n:[c;!R2;r6]:n:[c;!R2;r6]:1
PYRAZINE,pyrazine,C1=CN=CC=N1,80,0,[cH1]:[cH1]:n:[cH1]:[cH1]:n
PYRAZINERING,,,,1,[c;!R2;r6]1:[c;!R2;r6]:n:[c;!R2;r6]:[c;!R2;r6]:n:1
