smiles,value
C,111.65
CC,184.58
CCC,231.11
CCCC,272.68
CCCCC,309.21
CCCCCC,341.89
CCCCCCC,371.56
CCCCCCCC,398.82
CCCCCCCCC,423.98
CCCCCCCCCC,447.3
CCCCCCCCCCC,469.09
CCCCCCCCCCCC,489.48
CCCCCCCCCCCCC,508.61
CCCCCCCCCCCCCC,526.71
CCCCCCCCCCCCCCC,543.81
CCCCCCCCCCCCCCCC,560.04
CCCCCCCCCCCCCCCCC,573.41
CCCCCCCCCCCCCCCCCC,588.19
CCCCCCCCCCCCCCCCCCC,602.86
CCCCCCCCCCCCCCCCCCCC,612.69
CC(C)C,261.45
CCC(C)C,300.99
CC(C)C(C)C,331.16
CCCC(C)C,333.41
CCC(C)C(C)C,362.97
CCC(C)(C)C(C)C,387.91
CC(C)CC(C)(C)C,372.39
CC=C,225.51
CCC=C,266.9
C/C=C\C,276.87
CCCC=C,303.14
CCCCC=C,336.62
CCCCCC=C,366.86
CCCCCCC=C,394.45
CCCCCCCC=C,420.05
CCCCCCCCC=C,443.82
CC(=C)C,266.22
CCC(=C)C,304.31
CC=C(C)C,311.71
C=CC=C,268.69
CC(=C)C=C,307.21
C#C,188.89
CC#C,249.96
CC(C)C#C,302.15
CCC#CC,329.27
CCCCC#C,344.48
CCCC#CC,357.67
CCC#CCC,354.35
CCCCCC#C,372.93
CCCCCCC#C,399.35
C1CCCC1,322.4
CC1CCCC1,344.98
CCC1CCCC1,376.66
C1CCCCC1,353.87
CC1CCCCC1,374.09
CC1(CCCCC1)C,392.7
CCC1CCCCC1,404.98
C1CC=CC1,317.39
CC1=CCCC1,348.95
C1CCC=CC1,356.12
C1=CC=CC=C1,353.22
CC1=CC=CC=C1,383.79
CC1=CC=CC=C1C,417.59
CC1=CC(=CC=C1)C,412.29
CC1=CC=C(C=C1)C,411.5
CCC1=CC=CC=C1,409.33
CCCC1=CC=CC=C1,432.4
CC1=CC(=C(C=C1)C)C,442.51
CC(C)C1=CC=CC=C1,425.59
CC1=CC(=CC(=C1)C)C,437.89
CC1=CC=C(C=C1)C(C)C,449.93
C1=CC=C2C=CC=CC2=C1,491.12
C1=CC=C(C=C1)C2=CC=CC=C2,528.72
C=CC1=CC=CC=C1,418.31
CO,337.77
CCO,351.42
CCCO,370.28
CCCCO,390.86
CC(C)O,355.4
CC(C)(C)O,355.52
CCCCCO,409
CC(C)CCO,404.18
CCCCCCO,430.28
CCCCCCCO,450.23
CC(CO)O,460.62
C1=CC=C(C=C1)O,455
CC1=CC=CC=C1O,464.17
CC1=CC(=CC=C1)O,475.41
COC,248.47
CCCOC,311.93
CC(C)OC,303.94
CCCCOC,342.83
CC(C)COC,331.7
CCOCC,307.59
CCCOCC,336.48
CCOC(C)C,333.09
COC1=CC=CC=C1,426.76
C1=CC=C(C=C1)OC2=CC=CC=C2,531.01
C=O,253.97
CCCCCC=O,402.12
CCCCCCCC=O,445.77
CCCCCCCCCC=O,484.66
CC(=O)C,329.34
CCC(=O)C,352.76
CCCC(=O)C,375.43
CC(C)C(=O)C,367.48
CCCCC(=O)C,400.75
CC(C)CC(=O)C,389.22
CCC(=O)CC,375.12
CCC(=O)C(C)C,386.55
CC(C)C(=O)C(C)C,397.55
CC(=O)C1=CC=CC=C1,475.15
C(=O)O,373.75
CC(=O)O,391.08
CCC(=O)O,414.51
CC(C)C(=O)O,427.72
C1=CC=C(C=C1)C(=O)O,522.71
COC=O,304.87
CC(=O)OC,330.03
CCC(=O)OC,352.4
CCCC(=O)OC,375.63
CCOC=O,327.4
CCOC(=O)C,350.27
CCC(=O)OCC,372.18
CCCC(=O)OCC,394.55
CCCOC=O,353.96
CCCOC(=O)C,373.52
CCCCOC(=O)C,399.25
COC(=O)C1=CC=CC=C1,472.32
CCOC(=O)C1=CC=CC=C1,486.23
CC(=O)OC=C,345.82
CN,266.81
CNC,280.18
CN(C)C,276.01
CCN,289.74
CCNCC,328.77
CCN(CC)CC,362.14
CCCN,320.68
CCCNCCC,381.63
CC(C)N,305.17
C1=CC=C(C=C1)N,457.35
CNC1=CC=CC=C1,469.37
CN(C)C1=CC=CC=C1,466.35
C1CO1,283.9
C1=COC=C1,304.5
C1=CSC=C1,357.27
C1=CC=NC=C1,388.4
C(=O)N,493
CN(C)C=O,426.07
CC(=O)N,494.3
CC(=O)NC,478.17
CC#N,354.77
CCC#N,370.43
CCCC#N,390.88
C1=CC=C(C=C1)C#N,464.05
CS,279.14
CCS,308.18
CCCS,340.88
CCCCS,371.61
CC(C)CS,361.64
CSC,310.48
CCSC,339.58
CCSCC,365.28
CF,194.81
CCl,249.04
C(Cl)(Cl)Cl,334.34
C(Cl)(Cl)(Cl)Cl,349.86
CCF,237.29
CCBr,311.47
CCCCl,319.82
CC(C)Cl,308.65
CCC(Cl)Cl,363.45
CC(CCl)Cl,369.56
C=CCl,259.31
C1=CC=C(C=C1)F,357.89
C1=CC=C(C=C1)Cl,404.84
C1=CC=C(C=C1)Br,429.22
[HH],20.3
[N]=O,121.39
FF,85.05
BrBr,331.9
C(F)(F)F,191.03
C(F)(F)(F)F,145.15
C(Cl)Cl,312.93
C(Br)Br,370.05
C(Br)(Br)Br,422.38
C(F)(F)Cl,232.36
C(F)(Cl)Cl,282.06
C(F)(F)(F)Cl,192.09
C(F)(F)(Cl)Cl,243.34
C(F)(Cl)(Cl)Cl,296.9
CC(Cl)Cl,329.98
C(CCl)Cl,356.6
C(CBr)Br,404.51
CC(F)(F)F,226.01
CC(Cl)(Cl)Cl,347.23
