smiles,value
C,111.65
CC,184.58
CCC,231.11
CCCC,272.68
CCCCC,309.21
CCCCCC,341.89
CCCCCCC,371.56
CCCCCCCC,398.82
CCCCCCCCC,423.98
CCCCCCCCCC,447.3
CCCCCCCCCCC,469.09
CCCCCCCCCCCC,489.48
CCCCCCCCCCCCC,508.61
CCCCCCCCCCCCCC,526.71
CCCCCCCCCCCCCCC,543.81
CCCCCCCCCCCCCCCC,560.04
CCCCCCCCCCCCCCCCC,573.41
CCCCCCCCCCCCCCCCCC,588.19
CCCCCCCCCCCCCCCCCCC,602.86
CCCCCCCCCCCCCCCCCCCC,612.69
CC(C)C,261.45
CCC(C)C,300.99
CC(C)C(C)C,331.16
CCCC(C)C,333.41
CCC(C)C(C)C,362.97
CCC(C)(C)C(C)C,387.91
CC(C)CC(C)(C)C,372.39
C=CC,225.51
C=CCC,266.9
C/C=C\C,276.87
C=CCCC,303.14
C=CCCCC,336.62
C=CCCCCC,366.86
C=CCCCCCC,394.45
C=CCCCCCCC,420.05
C=CCCCCCCCC,443.82
C=C(C)C,266.22
C=C(C)CC,304.31
CC=C(C)C,311.71
C=CC=C,268.69
C=CC(=C)C,307.21
C#C,188.89
C#CC,249.96
C#CC(C)C,302.15
CC#CCC,329.27
C#CCCCC,344.48
CC#CCCC,357.67
CCC#CCC,354.35
C#CCCCCC,372.93
C#CCCCCCC,399.35
C1CCCC1,322.4
CC1CCCC1,344.98
CCC1CCCC1,376.66
C1CCCCC1,353.87
CC1CCCCC1,374.09
CC1(C)CCCCC1,392.7
CCC1CCCCC1,404.98
C1=CCCC1,317.39
CC1=CCCC1,348.95
C1=CCCCC1,356.12
c1ccccc1,353.22
Cc1ccccc1,383.79
Cc1ccccc1C,417.59
Cc1cccc(C)c1,412.29
Cc1ccc(C)cc1,411.5
CCc1ccccc1,409.33
CCCc1ccccc1,432.4
Cc1ccc(C)c(C)c1,442.51
CC(C)c1ccccc1,425.59
Cc1cc(C)cc(C)c1,437.89
Cc1ccc(C(C)C)cc1,449.93
c1ccc2ccccc2c1,491.12
c1ccc(-c2ccccc2)cc1,528.72
C=Cc1ccccc1,418.31
CO,337.77
CCO,351.42
CCCO,370.28
CCCCO,390.86
CC(C)O,355.4
CC(C)(C)O,355.52
CCCCCO,409.0
CC(C)CCO,404.18
CCCCCCO,430.28
CCCCCCCO,450.23
CC(O)CO,460.62
Oc1ccccc1,455.0
Cc1ccccc1O,464.17
Cc1cccc(O)c1,475.41
COC,248.47
CCCOC,311.93
COC(C)C,303.94
CCCCOC,342.83
COCC(C)C,331.7
CCOCC,307.59
CCCOCC,336.48
CCOC(C)C,333.09
COc1ccccc1,426.76
c1ccc(Oc2ccccc2)cc1,531.01
C=O,253.97
CCCCCC=O,402.12
CCCCCCCC=O,445.77
CCCCCCCCCC=O,484.66
CC(C)=O,329.34
CCC(C)=O,352.76
CCCC(C)=O,375.43
CC(=O)C(C)C,367.48
CCCCC(C)=O,400.75
CC(=O)CC(C)C,389.22
CCC(=O)CC,375.12
CCC(=O)C(C)C,386.55
CC(C)C(=O)C(C)C,397.55
CC(=O)c1ccccc1,475.15
O=CO,373.75
CC(=O)O,391.08
CCC(=O)O,414.51
CC(C)C(=O)O,427.72
O=C(O)c1ccccc1,522.71
COC=O,304.87
COC(C)=O,330.03
CCC(=O)OC,352.4
CCCC(=O)OC,375.63
CCOC=O,327.4
CCOC(C)=O,350.27
CCOC(=O)CC,372.18
CCCC(=O)OCC,394.55
CCCOC=O,353.96
CCCOC(C)=O,373.52
CCCCOC(C)=O,399.25
COC(=O)c1ccccc1,472.32
CCOC(=O)c1ccccc1,486.23
C=COC(C)=O,345.82
CN,266.81
CNC,280.18
CN(C)C,276.01
CCN,289.74
CCNCC,328.77
CCN(CC)CC,362.14
CCCN,320.68
CCCNCCC,381.63
CC(C)N,305.17
Nc1ccccc1,457.35
CNc1ccccc1,469.37
CN(C)c1ccccc1,466.35
C1CO1,283.9
c1ccoc1,304.5
c1ccsc1,357.27
c1ccncc1,388.4
NC=O,493.0
CN(C)C=O,426.07
CC(N)=O,494.3
CNC(C)=O,478.17
CC#N,354.77
CCC#N,370.43
CCCC#N,390.88
N#Cc1ccccc1,464.05
CS,279.14
CCS,308.18
CCCS,340.88
CCCCS,371.61
CC(C)CS,361.64
CSC,310.48
CCSC,339.58
CCSCC,365.28
CF,194.81
CCl,249.04
ClC(Cl)Cl,334.34
ClC(Cl)(Cl)Cl,349.86
CCF,237.29
CCBr,311.47
CCCCl,319.82
CC(C)Cl,308.65
CCC(Cl)Cl,363.45
CC(Cl)CCl,369.56
C=CCl,259.31
Fc1ccccc1,357.89
Clc1ccccc1,404.84
Brc1ccccc1,429.22
[HH],20.3
[N]=O,121.39
FF,85.05
BrBr,331.9
FC(F)F,191.03
FC(F)(F)F,145.15
ClCCl,312.93
BrCBr,370.05
BrC(Br)Br,422.38
FC(F)Cl,232.36
FC(Cl)Cl,282.06
FC(F)(F)Cl,192.09
FC(F)(Cl)Cl,243.34
FC(Cl)(Cl)Cl,296.9
CC(Cl)Cl,329.98
ClCCCl,356.6
BrCCBr,404.51
CC(F)(F)F,226.01
CC(Cl)(Cl)Cl,347.23
ClC(Cl)C(Cl)Cl,418.25
FC(Cl)(Cl)C(F)(Cl)Cl,365.82
FC(F)(Cl)C(F)(Cl)Cl,320.77
FC(F)(Cl)C(F)(F)Cl,276.76
CCCCCCl,381.32
FC(F)=C(F)Cl,244.8
C=C(Cl)Cl,304.71
ClC=C(Cl)Cl,360.1
