comp1,comp2,x1,T,y1
methanol,benzene,0,353.2883488,0
methanol,benzene,0.02,343.2316489,0.287435868
methanol,benzene,0.04,339.2332333,0.386433748
methanol,benzene,0.06,336.9292118,0.440764784
methanol,benzene,0.08,335.4254496,0.47565827
methanol,benzene,0.1,334.3806354,0.499942014
methanol,benzene,0.12,333.6278121,0.517671906
methanol,benzene,0.14,333.0728624,0.531027422
methanol,benzene,0.16,332.6575755,0.541308287
methanol,benzene,0.18,332.3435398,0.549349984
methanol,benzene,0.2,332.1041967,0.555720945
methanol,benzene,0.22,331.9205467,0.560825431
methanol,benzene,0.24,331.7786585,0.564961266
methanol,benzene,0.26,331.6681382,0.568354204
methanol,benzene,0.28,331.5811416,0.57117942
methanol,benzene,0.3,331.5117105,0.573575535
methanol,benzene,0.32,331.4553098,0.575654128
methanol,benzene,0.34,331.4084971,0.577506409
methanol,benzene,0.36,331.3686785,0.579208056
methanol,benzene,0.38,331.333928,0.580822834
methanol,benzene,0.4,331.302849,0.582405363
methanol,benzene,0.42,331.2744705,0.584003315
methanol,benzene,0.44,331.2481664,0.585659189
methanol,benzene,0.46,331.2235951,0.5874118
methanol,benzene,0.48,331.2006541,0.589297557
methanol,benzene,0.5,331.1794472,0.5913516
methanol,benzene,0.52,331.1602617,0.593608853
methanol,benzene,0.54,331.1435553,0.596105036
methanol,benzene,0.56,331.1299503,0.598877678
methanol,benzene,0.58,331.1202353,0.601967171
methanol,benzene,0.6,331.1153748,0.605417921
methanol,benzene,0.62,331.116525,0.609279636
methanol,benzene,0.64,331.1250588,0.61360881
methanol,benzene,0.66,331.1425981,0.61847049
methanol,benzene,0.68,331.1710576,0.623940415
methanol,benzene,0.7,331.2127,0.630107648
methanol,benzene,0.72,331.2702057,0.637077862
methanol,benzene,0.74,331.3467609,0.644977515
methanol,benzene,0.76,331.446168,0.65395919
methanol,benzene,0.78,331.572984,0.664208519
methanol,benzene,0.8,331.7326954,0.675953253
methanol,benzene,0.82,331.9319373,0.689475269
methanol,benzene,0.84,332.1787697,0.705126613
methanol,benzene,0.86,332.4830253,0.723351156
methanol,benzene,0.88,332.856744,0.74471409
methanol,benzene,0.9,333.3147117,0.769942418
methanol,benzene,0.92,333.8751152,0.799980886
methanol,benzene,0.94,334.5603119,0.836069465
methanol,benzene,0.96,335.3976752,0.879850492
methanol,benzene,0.98,336.4204068,0.933515284
methanol,benzene,1,337.6680579,1
methanol,toluene,0,383.8294159,0
methanol,toluene,0.02,368.1912426,0.384981457
methanol,toluene,0.04,359.3333679,0.545920896
methanol,toluene,0.06,353.6553893,0.631286357
methanol,toluene,0.08,349.7514546,0.683008795
methanol,toluene,0.1,346.9465427,0.717078081
methanol,toluene,0.12,344.8712456,0.740820385
methanol,toluene,0.14,343.3043777,0.758037397
methanol,toluene,0.16,342.1045435,0.770888285
methanol,toluene,0.18,341.1767543,0.780686514
methanol,toluene,0.2,340.4546713,0.788275557
methanol,toluene,0.22,339.8905008,0.794221434
methanol,toluene,0.24,339.4489244,0.798918168
methanol,toluene,0.26,339.1032881,0.802648775
methanol,toluene,0.28,338.8331181,0.805622178
methanol,toluene,0.3,338.622452,0.807996433
methanol,toluene,0.32,338.4586862,0.809893836
methanol,toluene,0.34,338.3317608,0.81141105
methanol,toluene,0.36,338.2335731,0.812626065
methanol,toluene,0.38,338.1575471,0.813603113
methanol,toluene,0.4,338.0983123,0.814396208
methanol,toluene,0.42,338.0514622,0.815051757
methanol,toluene,0.44,338.0133698,0.815610541
methanol,toluene,0.46,337.9810451,0.816109235
methanol,toluene,0.48,337.9520257,0.81658163
methanol,toluene,0.5,337.9242905,0.817059627
methanol,toluene,0.52,337.8961932,0.817574083
methanol,toluene,0.54,337.8664102,0.818155566
methanol,toluene,0.56,337.8339015,0.81883504
methanol,toluene,0.58,337.7978796,0.819644536
methanol,toluene,0.6,337.7577891,0.820617821
methanol,toluene,0.62,337.7132913,0.821791105
methanol,toluene,0.64,337.6642569,0.823203805
methanol,toluene,0.66,337.6107642,0.824899406
methanol,toluene,0.68,337.5531032,0.826926442
methanol,toluene,0.7,337.4917865,0.829339656
methanol,toluene,0.72,337.4275661,0.832201378
methanol,toluene,0.74,337.3614581,0.835583191
methanol,toluene,0.76,337.2947759,0.839567978
methanol,toluene,0.78,337.2291732,0.844252452
methanol,toluene,0.8,337.1666993,0.849750331
methanol,toluene,0.82,337.1098694,0.856196352
methanol,toluene,0.84,337.0617536,0.863751406
methanol,toluene,0.86,337.0260893,0.872609174
methanol,toluene,0.88,337.0074242,0.883004799
methanol,toluene,0.9,337.0112985,0.89522635
methanol,toluene,0.92,337.0444777,0.909630172
methanol,toluene,0.94,337.1152534,0.926661705
methanol,toluene,0.96,337.2338342,0.946884127
methanol,toluene,0.98,337.4128561,0.971018376
methanol,toluene,1,337.6680579,1
methanol,acetone,0,329.2764502,0
methanol,acetone,0.02,329.0996171,0.025687227
methanol,acetone,0.04,328.9472672,0.049845986
methanol,acetone,0.06,328.8171236,0.072644138
methanol,acetone,0.08,328.7071935,0.094228513
methanol,acetone,0.1,328.6157289,0.114728356
methanol,acetone,0.12,328.5411946,0.134258136
methanol,acetone,0.14,328.4822419,0.152919852
methanol,acetone,0.16,328.4376859,0.170804937
methanol,acetone,0.18,328.4064873,0.187995857
methanol,acetone,0.2,328.3877368,0.204567437
methanol,acetone,0.22,328.3806419,0.220588003
methanol,acetone,0.24,328.3845157,0.236120347
methanol,acetone,0.26,328.3987682,0.251222557
methanol,acetone,0.28,328.4228978,0.265948745
methanol,acetone,0.3,328.4564854,0.280349676
methanol,acetone,0.32,328.4991884,0.29447334
methanol,acetone,0.34,328.550737,0.308365448
methanol,acetone,0.36,328.6109297,0.322069894
methanol,acetone,0.38,328.6796314,0.33562918
methanol,acetone,0.4,328.7567706,0.349084806
methanol,acetone,0.42,328.8423382,0.362477649
methanol,acetone,0.44,328.9363867,0.375848323
methanol,acetone,0.46,329.0390297,0.389237538
methanol,acetone,0.48,329.1504423,0.402686456
methanol,acetone,0.5,329.2708617,0.416237056
methanol,acetone,0.52,329.400589,0.429932509
methanol,acetone,0.54,329.5399904,0.443817578
methanol,acetone,0.56,329.6895004,0.457939041
methanol,acetone,0.58,329.8496241,0.472346152
methanol,acetone,0.6,330.0209416,0.487091142
methanol,acetone,0.62,330.204112,0.502229779
methanol,acetone,0.64,330.3998785,0.517821992
methanol,acetone,0.66,330.6090742,0.533932577
methanol,acetone,0.68,330.8326294,0.550631992
methanol,acetone,0.7,331.0715784,0.567997273
methanol,acetone,0.72,331.3270691,0.586113091
methanol,acetone,0.74,331.6003726,0.605072961
methanol,acetone,0.76,331.8928943,0.624980664
methanol,acetone,0.78,332.2061869,0.645951897
methanol,acetone,0.8,332.5419644,0.668116213
methanol,acetone,0.82,332.9021187,0.691619306
methanol,acetone,0.84,333.2887372,0.716625716
methanol,acetone,0.86,333.7041234,0.743322037
methanol,acetone,0.88,334.15082,0.771920752
methanol,acetone,0.9,334.6316336,0.80266481
methanol,acetone,0.92,335.1496641,0.835833135
methanol,acetone,0.94,335.7083356,0.871747262
methanol,acetone,0.96,336.3114313,0.910779367
methanol,acetone,0.98,336.9631322,0.95336201
methanol,acetone,1,337.6680579,1
methanol,ethyl-formate,0,327.5737081,0
methanol,ethyl-formate,0.02,326.8696605,0.043014761
methanol,ethyl-formate,0.04,326.2951695,0.079452011
methanol,ethyl-formate,0.06,325.8252785,0.110695415
