comp1,comp2,value
water,methanol,0
water,ethanol,1
water,isopropanol,1
water,acetone,0
water,ethylene-glycol,0
water,12-propanediol,0
water,14-butanediol,0
water,23-butanediol,0
water,dimethyl-sulfoxide,0
water,dimethylamine,0
water,diethyl-amine,0
water,furfuryl-alcohol,0
water,pyridine,1
water,piperidine,1
methanol,water,0
ethanol,water,1
isopropanol,water,1
acetone,water,0
ethylene-glycol,water,0
12-propanediol,water,0
14-butanediol,water,0
23-butanediol,water,0
dimethyl-sulfoxide,water,0
dimethylamine,water,0
diethyl-amine,water,0
furfuryl-alcohol,water,0
pyridine,water,1
piperidine,water,1
