comp1,comp2,x1,T,y1
methanol,ethanol,0,351.4393189,0
methanol,ethanol,0.02,351.1059651,0.032831905
methanol,ethanol,0.04,350.7711605,0.065128648
methanol,ethanol,0.06,350.435262,0.096870194
methanol,ethanol,0.08,350.0986247,0.128038903
methanol,ethanol,0.1,349.7615999,0.158619523
methanol,ethanol,0.12,349.4245337,0.188599156
methanol,ethanol,0.14,349.0877655,0.217967214
methanol,ethanol,0.16,348.7516271,0.246715364
methanol,ethanol,0.18,348.4164413,0.274837454
methanol,ethanol,0.2,348.0825209,0.302329428
methanol,ethanol,0.22,347.7501676,0.329189243
methanol,ethanol,0.24,347.4196715,0.355416759
methanol,ethanol,0.26,347.0913099,0.381013648
methanol,ethanol,0.28,346.765347,0.405983279
methanol,ethanol,0.3,346.4420335,0.430330612
methanol,ethanol,0.32,346.1216055,0.45406209
methanol,ethanol,0.34,345.804285,0.47718553
methanol,ethanol,0.36,345.490279,0.499710017
methanol,ethanol,0.38,345.1797796,0.521645804
methanol,ethanol,0.4,344.8729638,0.543004213
methanol,ethanol,0.42,344.5699933,0.563797543
methanol,ethanol,0.44,344.2710149,0.584038982
methanol,ethanol,0.46,343.97616,0.603742532
methanol,ethanol,0.48,343.6855449,0.622922931
methanol,ethanol,0.5,343.3992712,0.641595591
methanol,ethanol,0.52,343.1174254,0.659776541
methanol,ethanol,0.54,342.8400794,0.677482376
methanol,ethanol,0.56,342.5672905,0.694730221
methanol,ethanol,0.58,342.2991016,0.711537697
methanol,ethanol,0.6,342.0355415,0.727922899
methanol,ethanol,0.62,341.776625,0.743904381
methanol,ethanol,0.64,341.5223531,0.759501159
methanol,ethanol,0.66,341.2727134,0.774732712
methanol,ethanol,0.68,341.02768,0.789619001
methanol,ethanol,0.7,340.7872142,0.8041805
methanol,ethanol,0.72,340.5512644,0.818438231
methanol,ethanol,0.74,340.3197667,0.832413823
methanol,ethanol,0.76,340.0926453,0.846129573
methanol,ethanol,0.78,339.869813,0.859608532
methanol,ethanol,0.8,339.6511717,0.872874599
methanol,ethanol,0.82,339.4366131,0.88595264
methanol,ethanol,0.84,339.2260199,0.898868624
methanol,ethanol,0.86,339.0192663,0.911649786
methanol,ethanol,0.88,338.8162202,0.924324812
methanol,ethanol,0.9,338.6167442,0.936924064
methanol,ethanol,0.92,338.4206978,0.949479832
methanol,ethanol,0.94,338.2279402,0.962026643
methanol,ethanol,0.96,338.0383335,0.97460161
methanol,ethanol,0.98,337.8517461,0.987244855
methanol,ethanol,1,337.6680579,1
methanol,1-propanol,0,370.3390686,0
methanol,1-propanol,0.02,369.1546211,0.062986677
methanol,1-propanol,0.04,368.0113931,0.121288571
methanol,1-propanol,0.06,366.9071525,0.175346991
methanol,1-propanol,0.08,365.8398184,0.225554125
methanol,1-propanol,0.1,364.807449,0.27225926
methanol,1-propanol,0.12,363.8082307,0.315774117
methanol,1-propanol,0.14,362.840468,0.356377459
methanol,1-propanol,0.16,361.9025746,0.394319064
methanol,1-propanol,0.18,360.9930656,0.429823173
methanol,1-propanol,0.2,360.1105489,0.463091472
methanol,1-propanol,0.22,359.2537193,0.494305696
methanol,1-propanol,0.24,358.4213516,0.523629888
methanol,1-propanol,0.26,357.6122948,0.551212381
methanol,1-propanol,0.28,356.8254671,0.577187526
methanol,1-propanol,0.3,356.0598505,0.601677212
methanol,1-propanol,0.32,355.3144866,0.624792193
methanol,1-propanol,0.34,354.5884723,0.646633269
methanol,1-propanol,0.36,353.8809563,0.667292315
methanol,1-propanol,0.38,353.1911349,0.686853196
methanol,1-propanol,0.4,352.5182495,0.705392577
methanol,1-propanol,0.42,351.8615829,0.722980636
methanol,1-propanol,0.44,351.2204571,0.739681704
methanol,1-propanol,0.46,350.5942305,0.755554832
methanol,1-propanol,0.48,349.9822954,0.770654288
methanol,1-propanol,0.5,349.384076,0.785030016
methanol,1-propanol,0.52,348.7990263,0.798728032
methanol,1-propanol,0.54,348.2266282,0.811790786
methanol,1-propanol,0.56,347.6663897,0.824257482
methanol,1-propanol,0.58,347.1178436,0.836164372
methanol,1-propanol,0.6,346.5805454,0.847545012
methanol,1-propanol,0.62,346.0540726,0.858430496
methanol,1-propanol,0.64,345.5380228,0.868849673
methanol,1-propanol,0.66,345.0320127,0.878829327
methanol,1-propanol,0.68,344.5356774,0.888394362
methanol,1-propanol,0.7,344.0486685,0.897567945
methanol,1-propanol,0.72,343.5706539,0.906371657
methanol,1-propanol,0.74,343.1013164,0.914825616
methanol,1-propanol,0.76,342.6403531,0.922948595
methanol,1-propanol,0.78,342.1874747,0.930758125
methanol,1-propanol,0.8,341.7424042,0.938270597
methanol,1-propanol,0.82,341.304877,0.945501344
methanol,1-propanol,0.84,340.8746397,0.952464723
methanol,1-propanol,0.86,340.4514494,0.959174189
